Taluk,location,category_total,category_non_command,stage_of_extraction_total,stage_of_extraction_non_command,water_availability_total_availability,water_availability_current_availability,water_availability_future_availability,water_availability_command_area_availability,water_availability_non_command_area_availability,recharge_summary_total_recharge,recharge_summary_rainfall_recharge,recharge_summary_agriculture_recharge,recharge_summary_surface_irrigation_recharge,recharge_summary_gw_irrigation_recharge,recharge_summary_canal_recharge,draft_summary_total_draft,draft_summary_agriculture_draft,draft_summary_domestic_draft,draft_summary_industry_draft,draft_summary_draft_intensity,area_breakdown_total_area,area_breakdown_recharge_worthy_area,area_breakdown_non_recharge_worthy_area,area_breakdown_non_command_area,rainfall_total_rainfall,rainfall_rainfall_intensity,losses_total_loss,losses_command_area_loss,losses_non_command_area_loss,status_assessment_overall_status,status_assessment_firka_breakdown_semi_critical,status_assessment_firka_breakdown_safe,status_assessment_critical_zones_over_exploited_firkas,status_assessment_critical_zones_semi_critical_firkas,status_assessment_critical_zones_safe_firkas,allocation_domestic_allocation,allocation_industry_allocation,allocation_total_allocation,key_metrics_extraction_rate_percentage,key_metrics_recharge_efficiency,key_metrics_water_balance_net_balance,key_metrics_water_balance_utilization_rate,key_metrics_water_balance_safety_margin,key_metrics_water_balance_deficit,key_metrics_sustainability_index,key_metrics_stress_level,context,metadata_processing_timestamp,metadata_data_source,metadata_format_version,metadata_location_uuid,metadata_risk_level,status_assessment_firka_breakdown_over_exploited,status_assessment_firka_breakdown_critical,error,original_data_locationName,original_data_area_non_recharge_worthy_commandArea,original_data_area_non_recharge_worthy_nonCommandArea,original_data_area_non_recharge_worthy_poorQualityArea,original_data_area_non_recharge_worthy_hillyArea,original_data_area_non_recharge_worthy_forestArea,original_data_area_non_recharge_worthy_totalArea,original_data_area_non_recharge_worthy_pavedArea,original_data_area_non_recharge_worthy_unpavedArea,original_data_area_total_commandArea,original_data_area_total_nonCommandArea,original_data_area_total_poorQualityArea,original_data_area_total_hillyArea,original_data_area_total_forestArea,original_data_area_total_totalArea,original_data_area_total_pavedArea,original_data_area_total_unpavedArea,original_data_area_recharge_worthy_commandArea,original_data_area_recharge_worthy_nonCommandArea,original_data_area_recharge_worthy_poorQualityArea,original_data_area_recharge_worthy_hillyArea,original_data_area_recharge_worthy_forestArea,original_data_area_recharge_worthy_totalArea,original_data_area_recharge_worthy_pavedArea,original_data_area_recharge_worthy_unpavedArea,original_data_loss_poor_quality,original_data_loss_total,original_data_loss_non_command,original_data_loss_command,original_data_category,original_data_reportSummary_8beb2b85-448a-450b-866d-9b5c8684cf29_FIRKA_over_exploited,original_data_reportSummary_8beb2b85-448a-450b-866d-9b5c8684cf29_TALUK_over_exploited,original_data_reportSummary_59a671fc-3d78-4f62-91a9-2ab64ec4c41c_FIRKA_semi_critical,original_data_reportSummary_59a671fc-3d78-4f62-91a9-2ab64ec4c41c_FIRKA_critical,original_data_reportSummary_59a671fc-3d78-4f62-91a9-2ab64ec4c41c_FIRKA_safe,original_data_reportSummary_59a671fc-3d78-4f62-91a9-2ab64ec4c41c_TALUK_semi_critical,original_data_reportSummary_55b61362-2a37-498f-92cd-dc29cc6ea466_FIRKA_semi_critical,original_data_reportSummary_55b61362-2a37-498f-92cd-dc29cc6ea466_TALUK_semi_critical,original_data_reportSummary_total_FIRKA_over_exploited,original_data_reportSummary_total_FIRKA_semi_critical,original_data_reportSummary_total_FIRKA_critical,original_data_reportSummary_total_FIRKA_safe,original_data_reportSummary_total_TALUK_over_exploited,original_data_reportSummary_total_TALUK_semi_critical,original_data_reportSummary_total_TALUK_critical,original_data_reportSummary_total_TALUK_safe,original_data_reportSummary_fd215d79-f679-4c7f-a1d2-20df56433a1a_FIRKA_safe,original_data_reportSummary_fd215d79-f679-4c7f-a1d2-20df56433a1a_TALUK_safe,original_data_reportSummary_0d2bb48a-8e6f-493d-89f1-db6ec463a3af_FIRKA_semi_critical,original_data_reportSummary_0d2bb48a-8e6f-493d-89f1-db6ec463a3af_FIRKA_safe,original_data_reportSummary_0d2bb48a-8e6f-493d-89f1-db6ec463a3af_TALUK_semi_critical,original_data_reportSummary_c3681273-6adf-4e4f-a601-9a5b1e17bad8_FIRKA_over_exploited,original_data_reportSummary_c3681273-6adf-4e4f-a601-9a5b1e17bad8_FIRKA_semi_critical,original_data_reportSummary_c3681273-6adf-4e4f-a601-9a5b1e17bad8_FIRKA_safe,original_data_reportSummary_c3681273-6adf-4e4f-a601-9a5b1e17bad8_TALUK_critical,original_data_reportSummary_bf9e7551-a161-40b0-ba59-8e179313927a_FIRKA_safe,original_data_reportSummary_bf9e7551-a161-40b0-ba59-8e179313927a_TALUK_safe,original_data_reportSummary_8305ece9-7abc-41ef-9188-c39ad8f2b23a_FIRKA_over_exploited,original_data_reportSummary_8305ece9-7abc-41ef-9188-c39ad8f2b23a_FIRKA_safe,original_data_reportSummary_8305ece9-7abc-41ef-9188-c39ad8f2b23a_TALUK_critical,original_data_reportSummary_5cb44039-da84-4421-8588-1f73e77db9fa_FIRKA_over_exploited,original_data_reportSummary_5cb44039-da84-4421-8588-1f73e77db9fa_FIRKA_semi_critical,original_data_reportSummary_5cb44039-da84-4421-8588-1f73e77db9fa_FIRKA_safe,original_data_reportSummary_5cb44039-da84-4421-8588-1f73e77db9fa_TALUK_semi_critical,original_data_reportSummary_9b33f0eb-d72e-44b2-a846-32be12fe329c_FIRKA_over_exploited,original_data_reportSummary_9b33f0eb-d72e-44b2-a846-32be12fe329c_FIRKA_safe,original_data_reportSummary_9b33f0eb-d72e-44b2-a846-32be12fe329c_TALUK_safe,original_data_gwProjectedUtilAllocationDynamicAquifer_domestic_total,original_data_gwProjectedUtilAllocationDynamicAquifer_total_total,original_data_staticGWResource_poor_quality,original_data_staticGWResource_total,original_data_staticGWResource_non_command,original_data_staticGWResource_command,original_data_totalGWAvailability_poor_quality,original_data_totalGWAvailability_total,original_data_totalGWAvailability_non_command,original_data_totalGWAvailability_command,original_data_aquiferBusinessData_SemiConfined Aquifer Piezo Data,original_data_aquiferBusinessData_confined_aquifer_total_total,original_data_aquiferBusinessData_confined_aquifer_in_storage_gw_in_storage_gw,original_data_aquiferBusinessData_confined_aquifer_dynamic_gw_dynamic_gw,original_data_coastalBusinessData,original_data_waterDepletedZonesBusinessData,original_data_inOutFlow_total,original_data_baseFlow_total_lateral_aquifer,original_data_baseFlow_total_vertcal_aquifer,original_data_streamRecharge,original_data_additionalbaseflow,original_data_envFlows,original_data_subject,original_data_action,original_data_modifiable,original_data_isUrban,original_data_gwSpecificYield,original_data_geology,original_data_qualityTagging,original_data_approvalLevel,original_data_verificStatus,original_data_timeStamp,original_data_locationUUID,original_data_rainfall_poor_quality,original_data_rainfall_total,original_data_rainfall_non_command,original_data_rainfall_command,original_data_wtfonly,original_data_computationSummary,original_data_rechargeData_agriculture_poor_quality,original_data_rechargeData_agriculture_total,original_data_rechargeData_agriculture_non_command,original_data_rechargeData_agriculture_command,original_data_rechargeData_rainfall_poor_quality,original_data_rechargeData_rainfall_total,original_data_rechargeData_rainfall_non_command,original_data_rechargeData_rainfall_command,original_data_rechargeData_total_poor_quality,original_data_rechargeData_total_total,original_data_rechargeData_total_non_command,original_data_rechargeData_total_command,original_data_rechargeData_surface_irrigation_poor_quality,original_data_rechargeData_surface_irrigation_total,original_data_rechargeData_surface_irrigation_non_command,original_data_rechargeData_surface_irrigation_command,original_data_rechargeData_gw_irrigation_poor_quality,original_data_rechargeData_gw_irrigation_total,original_data_rechargeData_gw_irrigation_non_command,original_data_rechargeData_gw_irrigation_command,original_data_rechargeData_water_body_poor_quality,original_data_rechargeData_water_body_total,original_data_rechargeData_water_body_non_command,original_data_rechargeData_water_body_command,original_data_rechargeData_canal_poor_quality,original_data_rechargeData_canal_total,original_data_rechargeData_canal_command,original_data_rechargeData_artificial_structure_poor_quality,original_data_rechargeData_artificial_structure_total,original_data_rechargeData_artificial_structure_non_command,original_data_rechargeData_artificial_structure_command,original_data_draftData_agriculture_total,original_data_draftData_agriculture_non_command,original_data_draftData_domestic_total,original_data_draftData_domestic_non_command,original_data_draftData_total_total,original_data_draftData_total_non_command,original_data_draftData_industry_total,original_data_draftData_industry_non_command,original_data_currentAvailabilityForAllPurposes_poor_quality,original_data_currentAvailabilityForAllPurposes_total,original_data_currentAvailabilityForAllPurposes_non_command,original_data_currentAvailabilityForAllPurposes_command,original_data_availabilityForFutureUse_poor_quality,original_data_availabilityForFutureUse_total,original_data_availabilityForFutureUse_non_command,original_data_availabilityForFutureUse_command,original_data_gwallocation_domestic_poor_quality,original_data_gwallocation_domestic_total,original_data_gwallocation_domestic_non_command,original_data_gwallocation_domestic_command,original_data_gwallocation_total_poor_quality,original_data_gwallocation_total_total,original_data_gwallocation_total_non_command,original_data_gwallocation_total_command,original_data_gwallocation_industry_poor_quality,original_data_gwallocation_industry_total,original_data_stageOfExtraction_poor_quality,original_data_stageOfExtraction_total,original_data_stageOfExtraction_non_command,original_data_stageOfExtraction_command,original_data_gwlevelData,original_data_gwanalysisSeason,original_data_gwtrendSlope,original_data_waterTableRiseFall,original_data_gwtrendAttention,original_data_waterTableCategory,original_data_message
ERODE,ERODE,semi_critical,critical,71.40850011,94.79349713,5046.29,5046.29,1531.64,1244.89,3801.4,5606.99,955.85,3212.74,2344.64,868.1,1383.21,3603.48,2480.3,252.4485068,870.733031,0.2029,17763.19,17763.19,0,17763.19,714.1845231,0.0402,560.7,138.32,422.38,semi_critical,2,1,0,2,1,1137.66,0,1137.66,71.40850011,785.09,1442.81,71.41,28.59,0,155.6,moderate_stress,"ERODE groundwater assessment shows SEMI_CRITICAL status with 71.40850010601848% extraction rate. Total available groundwater: 5,046 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 0 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,0d2bb48a-8e6f-493d-89f1-db6ec463a3af,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATHYAMANGALAM,SATHYAMANGALAM,critical,over_exploited,94.95595871,111.761644,8185.5,8185.5,1842.76,1230.86,6954.64,8903.79,2845.8,4286.28,1619.21,2667.07,1367.63,7772.62,7620.2,85.0209855,67.4,0.1514,51328.865,51328.865,0,51328.865,792.1480503,0.0154,718.28,136.77,581.52,critical,1,1,3,1,1,398.42,0,398.42,94.95595871,1124.01,412.89,94.96,5.04,0,114.55,high_stress,"SATHYAMANGALAM groundwater assessment shows CRITICAL status with 94.95595870747053% extraction rate. Total available groundwater: 8,186 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 3 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,c3681273-6adf-4e4f-a601-9a5b1e17bad8,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODAKURICHI,MODAKURICHI,semi_critical,semi_critical,77.05110296,81.77514513,10752.02,10752.02,2402.01,621.13,10130.89,11946.69,1332.96,9846.99,7000.3,2846.69,690.14,8284.55,8133.4,126.9825965,24.16796,0.2374,34889.75,34451.75,438,34451.75,604.5423282,0.0173,1194.67,69.01,1125.66,semi_critical,1,1,0,1,1,293.13,0,293.13,77.05110296,1976.15,2467.47,77.05,22.95,0,144.2,moderate_stress,"MODAKURICHI groundwater assessment shows SEMI_CRITICAL status with 77.05110295553764% extraction rate. Total available groundwater: 10,752 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 0 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,59a671fc-3d78-4f62-91a9-2ab64ec4c41c,moderate,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMBIYUR,NAMBIYUR,over_exploited,over_exploited,171.4423925,184.9622704,3648.66,3648.66,266.7,266.7,3381.96,4054.08,1030.89,2389.66,217.59,2172.07,296.34,6255.35,6205.9,37.65,11.8,0.2186,28615.705,28615.705,0,28615.705,593.0638403,0.0207,405.42,29.64,375.78,over_exploited,,,3,0,0,181.2,0,181.2,171.4423925,683.58,-2606.69,171.44,-71.44,2201.27,64.81,critical_stress,"NAMBIYUR groundwater assessment shows OVER_EXPLOITED status with 171.44239254959354% extraction rate. Total available groundwater: 3,649 ha-m. Water draft exceeds recharge by 2,201 ha-m. Critical situation with 3 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,8beb2b85-448a-450b-866d-9b5c8684cf29,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAVANI,BHAVANI,safe,safe,42.46823266,63.63644687,14730.54,14730.54,8141.35,4900.01,9830.53,16367.29,2194.59,8583.58,6459.39,2124.19,5444.47,6255.8,6069.1,51.52,135.17884,0.2002,31249.01,31249.01,0,31249.01,801.5426519,0.0257,1636.75,544.46,1092.29,safe,,3,0,0,3,384.91,0,384.91,42.46823266,2041.97,8474.74,42.47,57.53,0,261.63,low_stress,"BHAVANI groundwater assessment shows SAFE status with 42.468232664926056% extraction rate. Total available groundwater: 14,731 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 0 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,bf9e7551-a161-40b0-ba59-8e179313927a,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODUMUDI,KODUMUDI,semi_critical,semi_critical,74.3808885,85.1457588,7439.29,7439.29,1754.8,940.54,6498.75,8265.88,807.88,6346.23,4425.96,1920.27,1045.05,5533.41,5486.5,26.21,20.70414,0.2452,22563.585,22563.585,0,22563.585,559.449172,0.0248,826.59,104.51,722.08,semi_critical,3,,0,3,0,177.29,0,177.29,74.3808885,1477.5,1905.88,74.38,25.62,0,149.38,moderate_stress,"KODUMUDI groundwater assessment shows SEMI_CRITICAL status with 74.38088849876802% extraction rate. Total available groundwater: 7,439 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 0 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,55b61362-2a37-498f-92cd-dc29cc6ea466,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THALAVADI,THALAVADI,safe,semi_critical,62.63580797,71.41393077,2558.76,2558.76,855.91,314.52,2244.24,2843.07,1783.45,554.15,0,554.15,349.47,1602.7,1583.3,13.1,6.3,0.0742,21594.3,21594.3,0,21594.3,755.9,0.035,284.31,34.95,249.36,safe,,1,0,0,1,113.25,0,113.25,62.63580797,376.12,956.06,62.64,37.36,0,177.39,low_stress,"THALAVADI groundwater assessment shows SAFE status with 62.63580796948523% extraction rate. Total available groundwater: 2,559 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 0 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,fd215d79-f679-4c7f-a1d2-20df56433a1a,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTHIYUR,ANTHIYUR,semi_critical,over_exploited,83.96068882,115.351179,7108.41,7108.41,2190.22,1934.41,5174,7898.21,1802.09,3582,1562.49,2019.51,2149.33,5968.27,5770,172.405294,25.8655,0.1471,40575.115,40575.115,0,40575.115,746.0083799,0.0184,789.8,214.92,574.88,semi_critical,2,1,1,2,1,409.16,0,409.16,83.96068882,1058.73,1140.14,83.96,16.04,0,132.34,moderate_stress,"ANTHIYUR groundwater assessment shows SEMI_CRITICAL status with 83.96068881789319% extraction rate. Total available groundwater: 7,108 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 1 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,5cb44039-da84-4421-8588-1f73e77db9fa,moderate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBICHETTIPALAYAM,GOBICHETTIPALAYAM,safe,safe,51.90234617,60.86979633,15444.35,15444.35,7525.52,2275.29,13169.06,17160.38,2027.68,12424.5,9643.99,2780.51,2528.09,8015.98,7944.3,62.09,9.589,0.1934,41455.695,41455.695,0,41455.695,764.2475905,0.0184,1716.03,252.8,1463.23,safe,,4,1,0,4,390.72,0,390.72,51.90234617,2245.4,7428.37,51.9,48.1,0,214.08,low_stress,"GOBICHETTIPALAYAM groundwater assessment shows SAFE status with 51.902346165426195% extraction rate. Total available groundwater: 15,444 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 1 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,9b33f0eb-d72e-44b2-a846-32be12fe329c,moderate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERUNDURAI,PERUNDURAI,critical,over_exploited,92.11365025,123.7049261,10652.33,10652.33,2735.88,2720.35,7931.98,11835.92,2911.18,5466.29,2075.23,3391.06,3022.61,9812.25,9688.7,97.49,26.07304,0.17,57729.905,56742.905,987,56742.905,704.3293051,0.0122,1183.59,302.26,881.33,critical,,1,4,0,1,775.89,0,775.89,92.11365025,1680.45,840.08,92.11,7.89,0,120.62,high_stress,"PERUNDURAI groundwater assessment shows CRITICAL status with 92.11365025304325% extraction rate. Total available groundwater: 10,652 ha-m. Water draft exceeds recharge by 0 ha-m. Critical situation with 4 over-exploited firkas. Immediate conservation measures required.",2025-09-11T13:37:12.175891,groundwater_assessment,1.1,8305ece9-7abc-41ef-9188-c39ad8f2b23a,high,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Processing failed: 'NoneType' object has no attribute 'get',total,0,0,0,0,0,1425,0,0,0,346340.12,0,0,0,347765.12,0,0,0,346340.12,0,0,0,346340.12,0,0,0,9316.14,7488.51,1827.64,,3,1,1,1,1,1,3,1,12,9,1,13,1,4,2,3,1,1,2,1,1,3,1,1,1,3,1,4,1,1,1,2,1,1,1,4,1,0,0,0,0,0,0,0,85566.15,69117.45,16448.7,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,0,713.3333069,713.3333069,0,,,0,56692.42,56692.42,0,0,17692.37,17692.37,0,0,94882.3,76605.96,18276.34,0,35348.8,35348.8,0,0,21343.62,21343.62,0,0,358.88,358.88,0,0,18276.34,18276.34,0,1862.296,1862.296,0,60981.7,60981.7,924.9173828,924.9173828,63104.41,63104.41,1197.811511,1197.811511,0,85566.15,69117.45,16448.7,0,29246.79,12798.09,16448.7,0,4261.63,4261.63,0,0,4261.63,4261.63,0,0,0,0,73.74926884,91.30025775,0,,,,,,,
